Image,Sequential Time (ms),Concurrent Time (ms)
1,3885.64,2845.90
2,5589.13,3770.31
3,9174.86,4484.26
4,10816.46,6432.06
5,11736.53,11551.65
6,14603.68,11551.76
7,17471.74,11753.16
8,19618.86,12166.43
9,23920.39,14314.59
10,28328.75,15647.83
11,29560.11,21278.49
12,30683.85,23875.40
13,33548.05,24585.12
14,36138.66,24904.83
15,39379.84,25993.83
16,41022.20,27226.29
17,42770.78,27355.41
18,44299.92,27355.49
19,44933.84,27964.86
20,45649.91,28280.75
